nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
27,Factiva-20210602-1530,HIGHLIGHT: Idaho,,"2,282 words",20 May 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Hoover: One of the largest COVID-19 vaccination sites in the state operated for its final day Tuesday as dwindling demand forced a shutdown despite the fact that only about 25% of the state's population is fully vaccinated. Traffic at the drive-up clinic at Hoover Metropolitan Stadium had slowed to a trickle.

Alaska Juneau: A recent increase in people giving up pets to the Juneau Animal Rescue has shelter managers concerned that people going back to their workplaces as coronavirus pandemic restrictions ease can no longer care for the pets they adopted.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gimmu : Immunizations | genv : Natural Environment | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures,usa : United States | uss : Southern U.S. | ushi : Hawaii | usak : Alaska | usal : Alabama | usfl : Florida | usid : Idaho | usil : Illinois | usks : Kansas | usmd : Maryland | usne : Nebraska | usnv : Nevada | namz : North America | usc : Midwest U.S. | usw : Western U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210520eh5k00012
28,Factiva-20210602-1530,"COVID vaccines won't turn the common cold or flu 'extremely lethal'
   BY
Miriam Fauzia",,967 words,20 May 2021,,USA Today,USAT,,"D.3
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"While COVID-19 has been raging on for more than a year, there's one viral illness the U.S. has not seen much of: the flu.

Flu activity has been at a record low, with deaths, cases and hospitalizations far lower than in previous years, according to the U.S. Centers for Disease Control and Prevention.",,,,,i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gcold : Respiratory Tract Diseases | gimmu : Immunizations | gmed : Medical Conditions | reqrhc : Suggested Reading   Healthcare | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | ghea : Health | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210520eh5k0000m
29,Factiva-20210602-1530,"Families Spend Big on Elaborate Reunions as Restrictions Fade
   BY
By Debra Kamin",,"1,877 words",20 May 2021,,The New York Times,NYTF,Late Edition - Final,6,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"Newly vaccinated families are opting for private jets, luxury resorts and guided tours in elaborate new twists on the old-fashioned family reunion.

Jeff Belcher, 41, wouldn't necessarily have chosen Williamsburg, Va., as the destination for his family's first vacation since travel restrictions began to ease. But when his extended family decided to travel to the American Revolution-era town for a reunion this summer, he knew that he, his wife and their three children wouldn't miss it.",,,,,,glife : Living/Lifestyle | gtour : Travel | gcat : Political/General News,usa : United States | namz : North America,,Business/Financial Desk,The New York Times Company,Document NYTF000020210520eh5k0003z
30,Factiva-20210602-1530,"Editorial: CDC's mask guidance for the fully vaccinated doesn't mean a return to normal
   BY
By the Editorial Board",,552 words,19 May 2021,,St. Louis Post-Dispatch,SLMO,Final,A8,English,"Copyright 2021, St. Louis Post-Dispatch.  All Rights Reserved.","The great mask debate appears to be over, even if the pandemic isn’. The unexpected ferocity of passions over the wearing of —r refusal to wear —asks in public produced countless tense, even violent confrontations over the past 14 months as the quest to save lives devolved bizarrely into political football. Against that backdrop, new guidance from the Centers for Disease Control and Prevention says vaccinated Americans no longer need to wear a mask in most settings.

Local governments and big chain stores quickly dropped their mask requirements. Now a new question arises: Did the CDC drop its mask recommendations too soon?",,,,uscdcp : Centers for Disease Control and Prevention,,gvbod : Government Bodies | gimmu : Immunizations | gpol : Domestic Politics | greg : Regional Politics | nedi : Editorials | gcat : Political/General News | ghea : Health | gpir : Politics/International Relations | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | usmo : Missouri | namz : North America | usc : Midwest U.S.,,commentary | local-coronavirus | centers for disease control and prevention | mask mandates,St. Louis Post-Dispatch,Document SLMO000020210520eh5j00234
31,Factiva-20210602-1530,"Mask up? Well, maybe
   BY
Kelly Tyko",,896 words,19 May 2021,,USA Today,USAT,,"A.1
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"The Centers for Disease Control and Prevention may say fully vaccinated Americans no longer need to wear face masks, but the mask conflict at stores isn't going away.

As vaccinated Americans begin to take off their masks and retailers update their masking policies, the debates and outbursts related to mask wearing (or lack thereof) are expected to continue, experts told USA TODAY.",,,,uscdcp : Centers for Disease Control and Prevention,i64 : Retail/Wholesale | i654 : Specialty Retailing | i656 : Mixed Retailing | iretail : Retail,ccat : Corporate/Industrial News | ghea : Health | gimmu : Immunizations | gmed : Medical Conditions | gout : Outbreaks/Epidemics | gsars : Novel Coronaviruses | npag : Page One Stories | gcat : Political/General News | gcold : Respiratory Tract Diseases | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210519eh5j00030
32,Factiva-20210602-1530,"Home Depot revenue, profits get another boost from pandemic: Retailer continues to benefit from boom in home improvement.
   BY
Michael E. Kanell",Staff,401 words,19 May 2021,,The Atlanta Journal - Constitution,ATJC,Main,A2,English,"Copyright (c) 2021 The Atlanta Journal-Constitution, All Rights Reserved","EARNINGS&

Home Depot on Tuesday reported sales of $37.5 billion for its fiscal first quarter, up nearly one-third from a year earlier, as the giant retailer blew past analysts’xpectations.",,,,"homd : The Home Depot, Inc.",i6483 : Decorating/DIY/Hardware Stores | i64 : Retail/Wholesale | i648 : Household Goods/Hardware Stores | i654 : Specialty Retailing | iretail : Retail,c151 : Earnings | gout : Outbreaks/Epidemics | c1513 : Sales Figures | c15 : Financial Performance | ccat : Corporate/Industrial News | gcat : Political/General News | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter,usga : Georgia (US) | namz : North America | usa : United States | uss : Southern U.S.,,pagesuite,"Cox Enterprises, Inc., d/b/a The Atlanta Journal-Constitution",Document ATJC000020210519eh5j0008g
33,Factiva-20210602-1530,"Faces of White House sometimes remain masked
   BY
Annie Linskey",,"1,213 words",19 May 2021,,The Washington Post,WP,FINAL,A01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","A maskless President Biden delivered triumphant remarks Thursday, heralding the news that federal health guidelines had changed to say fully vaccinated Americans need not wear masks indoors or outside in most situations.

Then he went home to Wilmington, Del., where a state mask mandate remained in place. Biden was seen walking out of church with his black mask still firmly fixed to his face. He had it on again Tuesday morning as he emerged from his presidential limousine. Vice President Harris also appeared maskless for the Thursday announcement but wore one over the weekend when she dropped by Washington's Eastern Market.",,,,,,npag : Page One Stories | ncat : Content Types,usa : United States | usdc : Washington DC | namz : North America | uss : Southern U.S.,,National-Politics,Washington Post,Document WP00000020210519eh5j0000f
34,Factiva-20210602-1530,"At Ford plant, Biden feels a need for speed while promoting clean-energy tech
   BY
Matt Viser",,"1,168 words",19 May 2021,,The Washington Post,WP,FINAL,A18,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","When President Biden on Tuesday took the stage at a Ford plant he said, ""I'm a car guy."" And then, shortly afterward, he proved it.

Biden - in an excursion that probably made his Secret Service detail squirm - jumped into a new F-150 Lightning electric truck and pressed the accelerator, zipping around an empty lot.",,,,,,gcar : Cars | gmetha : Methamphetamine Use/Abuse | gabus : Drug/Substance Use/Abuse | gcat : Political/General News | gcom : Society/Community | glife : Living/Lifestyle | gsoc : Social Issues,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210519eh5j0000b
35,Factiva-20210602-1530,"Business Digest
   BY
From wire reports",,567 words,18 May 2021,,St. Louis Post-Dispatch,SLMO,Final,A12,English,"Copyright 2021, St. Louis Post-Dispatch.  All Rights Reserved.","Tech stocks fall: Wall Street stocks ended lower on Monday, weighed down by tech shares as signs of growing inflation worried investors about the potential for tighter monetary policy.

Of the 11 major S&P sectors that declined, technology and communication services were among the biggest losers.",,,,,,ncdig : Corporate Digests | ncat : Content Types,usmo : Missouri | namz : North America | usa : United States | usc : Midwest U.S.,,business | major-industry,St. Louis Post-Dispatch,Document SLMO000020210520eh5i0015r
36,Factiva-20210602-1530,HIGHLIGHT: Tennessee,,"2,252 words",18 May 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Montgomery: The state House on Monday approved a bill that would prevent businesses and schools from requiring patrons and students to get COVID-19 vaccines.

Alaska Juneau: The state will stop participating next month in a federal program that provides an extra $300 a week in unemployment aid, Alaska's labor commissioner announced Friday, saying it's ""time to help people get back to work.""",,,,,i2572 : Vaccines | i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences | idrugty : Specialized Drugs/Medications,gsars : Novel Coronaviruses | greg : Regional Politics | gout : Outbreaks/Epidemics | c173 : Financing Agreements | gart : Art | gedu : Education | gent : Arts/Entertainment | ghea : Health | gmed : Medical Conditions | gvcng : Legislative Branch | c17 : Corporate Funding | ccat : Corporate/Industrial News | gcat : Political/General News | gcold : Respiratory Tract Diseases | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gvbod : Government Bodies | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter,usa : United States | usw : Western U.S. | ushi : Hawaii | usak : Alaska | usal : Alabama | usca : California | usfl : Florida | usks : Kansas | usnj : New Jersey | usok : Oklahoma | ustn : Tennessee | namz : North America | usc : Midwest U.S. | use : Northeast U.S. | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210518eh5i00011
